quarter_year,is_west_yorks,n_casualties,n_collisions,casualties_per_collision,group,base_2019,casualty_index,collision_index,cpc_index
2022 Q2,TRUE,1056,827,1.2769044740024185,West Yorkshire,1.3234340311279023,111.59841479524438,115.62390772457182,96.48418009276755
2022 Q3,FALSE,8558,6703,1.2767417574220499,All other forces,1.2885711714528467,87.41573033707866,88.20317126126719,99.08197433771088
2022 Q3,TRUE,1083,813,1.3321033210332103,West Yorkshire,1.3234340311279023,114.45178335535006,113.66655015728766,100.65506022222503
2022 Q4,FALSE,8549,6925,1.2345126353790614,All other forces,1.2885711714528467,87.3237997957099,91.12441608000526,95.80476909064829
2022 Q4,TRUE,1209,929,1.301399354144241,West Yorkshire,1.3234340311279023,127.76750330250991,129.88465571478503,98.33503775289182
2023 Q1,FALSE,7921,6338,1.2497633322814767,All other forces,1.2885711714528467,80.9090909090909,83.40022369892756,96.98830456313758
2023 Q1,TRUE,926,727,1.2737276478679505,West Yorkshire,1.3234340311279023,97.85997357992073,101.64278224397064,96.24413593040302
2023 Q2,FALSE,8141,6388,1.2744207889793362,All other forces,1.2885711714528467,83.15628192032686,84.05816172116586,98.90185479956406
2023 Q2,TRUE,1174,893,1.314669652855543,West Yorkshire,1.3234340311279023,124.06869220607662,124.85145054176861,99.33775480558786
2023 Q3,FALSE,8122,6420,1.2651090342679128,All other forces,1.2885711714528467,82.96220633299285,84.47924205539839,98.17921293718835
2023 Q3,TRUE,990,765,1.2941176470588236,West Yorkshire,1.3234340311279023,104.62351387054161,106.9556099265991,97.78482467735141
2023 Q4,FALSE,8623,6854,1.258097461336446,All other forces,1.2885711714528467,88.07967313585291,90.19014408842688,97.63507745699121
2023 Q4,TRUE,1073,855,1.2549707602339182,West Yorkshire,1.3234340311279023,113.39498018494055,119.53862285914016,94.82684672724972
2024 Q1,FALSE,7606,6097,1.2474987698868296,All other forces,1.2885711714528467,77.69152196118488,80.22896243173894,96.81256243535942
2024 Q1,TRUE,985,785,1.2547770700636942,West Yorkshire,1.3234340311279023,104.09511228533685,109.75183502271933,94.81221130412561
2024 Q2,FALSE,8110,6456,1.2561957868649318,All other forces,1.2885711714528467,82.83963227783453,84.95295743140996,97.48749736877846
2024 Q2,TRUE,1027,772,1.3303108808290156,West Yorkshire,1.3234340311279023,108.5336856010568,107.93428871024118,100.51962164636589
2024 Q3,FALSE,7944,6354,1.2502360717658167,All other forces,1.2885711714528467,81.14402451481104,83.61076386604383,97.02499167012967
2024 Q3,TRUE,954,739,1.290933694181326,West Yorkshire,1.3234340311279023,100.81902245706738,103.32051730164278,97.54424201115052
2024 Q4,FALSE,8752,7028,1.2453044963005122,All other forces,1.2885711714528467,89.3973442288049,92.47976840581617,96.64227509423854
2024 Q4,TRUE,1042,801,1.3008739076154807,West Yorkshire,1.3234340311279023,110.11889035667107,111.98881509961552,98.29533448726609
