quarter_year,group,n_casualties,n_collisions,n_lads,casualties_per_lad,collisions_per_lad,casualties_per_collision,base_2019,casualty_index,collision_index,cpc_index
2022 Q4,Bradford,404,301,1,404,301,1.3421926910299002,1.3405920505269893,144.93273542600897,144.88567990373045,100.11939803031666
2022 Q4,Bradford's matched-control LADs,7251,5829,58,125.01724137931035,100.5,1.2439526505404015,1.296968272787715,92.94068638446502,96.85539816391808,95.91234239420821
2023 Q1,Bradford,319,245,1,319,245,1.3020408163265307,1.3405920505269893,114.43946188340807,117.93020457280385,97.12431278513817
2023 Q1,Bradford's matched-control LADs,6464,5182,58,111.44827586206897,89.34482758620689,1.2473948282516403,1.296968272787715,82.85320601147178,86.10476467411621,96.17774423814384
2023 Q2,Bradford,395,290,1,395,290,1.3620689655172413,1.3405920505269893,141.70403587443946,139.59085439229844,101.60204701958432
2023 Q2,Bradford's matched-control LADs,6734,5321,58,116.10344827586206,91.74137931034483,1.2655515880473596,1.296968272787715,86.31396801999551,88.41440618119884,97.5776828624475
2023 Q3,Bradford,327,247,1,327,247,1.3238866396761133,1.3405920505269893,117.30941704035874,118.89290012033695,98.75387812091613
2023 Q3,Bradford's matched-control LADs,6771,5344,58,116.74137931034483,92.13793103448276,1.2670284431137724,1.296968272787715,86.78822059153394,88.79657707805424,97.69155265382169
2023 Q4,Bradford,337,272,1,337,272,1.2389705882352942,1.3405920505269893,120.89686098654708,130.9265944645006,92.41965799724477
2023 Q4,Bradford's matched-control LADs,7088,5671,58,122.20689655172414,97.77586206896552,1.2498677481925586,1.296968272787715,90.8514115422822,94.23005026378101,96.36841350837996
2024 Q1,Bradford,338,267,1,338,267,1.2659176029962547,1.3405920505269893,121.25560538116592,128.51985559566788,94.42974113553933
2024 Q1,Bradford's matched-control LADs,6252,5020,58,107.79310344827586,86.55172413793103,1.245418326693227,1.296968272787715,80.13586695292722,83.41295227017821,96.0253502590556
2024 Q2,Bradford,336,253,1,336,253,1.3280632411067195,1.3405920505269893,120.53811659192826,121.78098676293622,99.06542714352626
2024 Q2,Bradford's matched-control LADs,6646,5281,58,114.58620689655173,91.05172413793103,1.258473773906457,1.296968272787715,85.18601595795815,87.74976114318946,97.03196294859877
2024 Q3,Bradford,312,245,1,312,245,1.273469387755102,1.3405920505269893,111.92825112107623,117.93020457280385,94.99305827261162
2024 Q3,Bradford's matched-control LADs,6477,5177,58,111.67241379310344,89.25862068965517,1.2511106818620823,1.296968272787715,83.01983529336366,86.02168404436506,96.46424728439456
2024 Q4,Bradford,346,266,1,346,266,1.300751879699248,1.3405920505269893,124.12556053811659,128.03850782190133,97.02816596502419
2024 Q4,Bradford's matched-control LADs,7187,5748,58,123.91379310344827,99.10344827586206,1.250347947112039,1.296968272787715,92.12035761207422,95.50949196194907,96.40543823208027
