quarter_year,group,severity,n_casualties,n_lads,casualties_per_lad,base_2019,casualty_index
2017 Q1,Bradford's matched-control LADs,2,1120,58,19.310344827586206,20.573275862068964,93.86130316362875
2017 Q1,Bradford's matched-control LADs,3,7284,58,125.58620689655173,112.68103448275862,111.45283451916457
2017 Q2,Bradford,1,2,1,2,2.25,88.88888888888889
2017 Q2,Bradford,2,55,1,55,39.75,138.36477987421384
2017 Q2,Bradford,3,268,1,268,236.75,113.19957761351637
2017 Q2,Bradford's matched-control LADs,1,50,30,1.6666666666666667,1.9998290982555342,83.34045484789237
2017 Q2,Bradford's matched-control LADs,2,1111,58,19.155172413793103,20.573275862068964,93.10706054892101
2017 Q2,Bradford's matched-control LADs,3,6945,58,119.74137931034483,112.68103448275862,106.2657792058756
2017 Q3,Bradford,1,1,1,1,2.25,44.44444444444444
2017 Q3,Bradford,2,49,1,49,39.75,123.27044025157232
2017 Q3,Bradford,3,316,1,316,236.75,133.4741288278775
2017 Q3,Bradford's matched-control LADs,1,70,35,2,1.9998290982555342,100.00854581747085
2017 Q3,Bradford's matched-control LADs,2,1214,58,20.93103448275862,20.573275862068964,101.73894825057616
2017 Q3,Bradford's matched-control LADs,3,7528,58,129.79310344827587,112.68103448275862,115.18629026088288
2017 Q4,Bradford,1,5,1,5,2.25,222.22222222222223
2017 Q4,Bradford,2,42,1,42,39.75,105.66037735849056
2017 Q4,Bradford,3,280,1,280,236.75,118.26821541710665
2017 Q4,Bradford's matched-control LADs,1,79,35,2.257142857142857,1.9998290982555342,112.86678742257425
2017 Q4,Bradford's matched-control LADs,2,1324,58,22.82758620689655,20.573275862068964,110.957469097004
2017 Q4,Bradford's matched-control LADs,3,7868,58,135.6551724137931,112.68103448275862,120.38864662229363
2018 Q1,Bradford,1,4,1,4,2.25,177.77777777777777
2018 Q1,Bradford,2,27,1,27,39.75,67.9245283018868
2018 Q1,Bradford,3,241,1,241,236.75,101.79514255543823
2018 Q1,Bradford's matched-control LADs,1,59,28,2.107142857142857,1.9998290982555342,105.36614648626393
2018 Q1,Bradford's matched-control LADs,2,1090,58,18.79310344827586,20.573275862068964,91.34716111460297
2018 Q1,Bradford's matched-control LADs,3,6685,58,115.25862068965517,112.68103448275862,102.28750669420856
2018 Q2,Bradford,1,1,1,1,2.25,44.44444444444444
2018 Q2,Bradford,2,46,1,46,39.75,115.72327044025157
2018 Q2,Bradford,3,284,1,284,236.75,119.95776135163675
2018 Q2,Bradford's matched-control LADs,1,71,33,2.1515151515151514,1.9998290982555342,107.58495080364287
2018 Q2,Bradford's matched-control LADs,2,1290,58,22.24137931034483,20.573275862068964,108.10810810810811
2018 Q2,Bradford's matched-control LADs,3,6827,58,117.70689655172414,112.68103448275862,104.46025552750365
2018 Q3,Bradford,1,6,1,6,2.25,266.6666666666667
2018 Q3,Bradford,2,41,1,41,39.75,103.14465408805032
2018 Q3,Bradford,3,284,1,284,236.75,119.95776135163675
2018 Q3,Bradford's matched-control LADs,1,72,33,2.1818181818181817,1.9998290982555342,109.10023180087727
2018 Q3,Bradford's matched-control LADs,2,1151,58,19.844827586206897,20.573275862068964,96.45924994762206
2018 Q3,Bradford's matched-control LADs,3,6907,58,119.08620689655173,112.68103448275862,105.68433937724734
2018 Q4,Bradford,1,4,1,4,2.25,177.77777777777777
2018 Q4,Bradford,2,51,1,51,39.75,128.30188679245282
2018 Q4,Bradford,3,302,1,302,236.75,127.56071805702217
2018 Q4,Bradford's matched-control LADs,1,80,37,2.1621621621621623,1.9998290982555342,108.11734682969822
2018 Q4,Bradford's matched-control LADs,2,1270,58,21.896551724137932,20.573275862068964,106.4320134087576
2018 Q4,Bradford's matched-control LADs,3,7262,58,125.20689655172414,112.68103448275862,111.11621146048505
2019 Q1,Bradford,1,2,1,2,2.25,88.88888888888889
