LAD24CD,LAD24NM,quarter_year,n_casualties,n_collisions,base_2019,casualty_index,collision_index
E08000034,Kirklees,2015 Q2,304,225,144,160.21080368906456,156.25
E08000034,Kirklees,2015 Q3,307,223,144,161.79183135704875,154.86111111111111
E08000034,Kirklees,2015 Q4,414,282,144,218.1818181818182,195.83333333333334
E08000034,Kirklees,2016 Q1,305,220,144,160.73781291172597,152.77777777777777
E08000034,Kirklees,2016 Q2,262,188,144,138.0764163372859,130.55555555555554
E08000034,Kirklees,2016 Q3,264,180,144,139.1304347826087,125
E08000034,Kirklees,2016 Q4,294,212,144,154.9407114624506,147.22222222222223
E08000034,Kirklees,2017 Q1,286,190,144,150.7246376811594,131.94444444444446
E08000034,Kirklees,2017 Q2,170,128,144,89.59156785243742,88.88888888888889
E08000034,Kirklees,2017 Q3,242,192,144,127.53623188405797,133.33333333333334
E08000034,Kirklees,2017 Q4,268,201,144,141.23847167325428,139.58333333333334
E08000034,Kirklees,2018 Q1,232,179,144,122.266139657444,124.30555555555556
E08000034,Kirklees,2018 Q2,225,160,144,118.57707509881423,111.11111111111111
E08000034,Kirklees,2018 Q3,215,159,144,113.30698287220027,110.41666666666667
E08000034,Kirklees,2018 Q4,234,180,144,123.3201581027668,125
E08000034,Kirklees,2019 Q1,206,154,144,108.56389986824769,106.94444444444444
E08000034,Kirklees,2019 Q2,196,141,144,103.29380764163373,97.91666666666667
E08000034,Kirklees,2019 Q3,183,146,144,96.44268774703558,101.38888888888889
E08000034,Kirklees,2019 Q4,174,135,144,91.699604743083,93.75
E08000034,Kirklees,2020 Q1,197,147,144,103.82081686429513,102.08333333333333
E08000034,Kirklees,2020 Q2,106,83,144,55.86297760210804,57.638888888888886
E08000034,Kirklees,2020 Q3,161,120,144,84.84848484848484,83.33333333333333
E08000034,Kirklees,2020 Q4,143,113,144,75.3623188405797,78.47222222222223
E08000034,Kirklees,2021 Q1,106,87,144,55.86297760210804,60.416666666666664
E08000034,Kirklees,2021 Q2,241,179,144,127.00922266139658,124.30555555555556
E08000034,Kirklees,2021 Q3,243,177,144,128.06324110671937,122.91666666666667
E08000034,Kirklees,2021 Q4,246,188,144,129.64426877470356,130.55555555555554
E08000034,Kirklees,2022 Q1,250,189,144,131.75230566534916,131.25
E08000034,Kirklees,2022 Q2,231,186,144,121.73913043478261,129.16666666666666
E08000034,Kirklees,2022 Q3,206,158,144,108.56389986824769,109.72222222222223
E08000034,Kirklees,2022 Q4,266,201,144,140.1844532279315,139.58333333333334
E08000034,Kirklees,2023 Q1,194,155,144,102.23978919631094,107.63888888888889
E08000034,Kirklees,2023 Q2,244,203,144,128.59025032938075,140.97222222222223
E08000034,Kirklees,2023 Q3,232,181,144,122.266139657444,125.69444444444444
E08000034,Kirklees,2023 Q4,227,183,144,119.63109354413702,127.08333333333333
E08000034,Kirklees,2024 Q1,194,164,144,102.23978919631094,113.88888888888889
E08000034,Kirklees,2024 Q2,215,150,144,113.30698287220027,104.16666666666667
E08000034,Kirklees,2024 Q3,160,128,144,84.32147562582345,88.88888888888889
E08000034,Kirklees,2024 Q4,215,165,144,113.30698287220027,114.58333333333333
E08000035,Leeds,2015 Q1,578,413,363.5,120.98377812663527,113.61760660247593
E08000035,Leeds,2015 Q2,663,499,363.5,138.77551020408163,137.2764786795048
E08000035,Leeds,2015 Q3,673,521,363.5,140.86865515436943,143.32874828060523
E08000035,Leeds,2015 Q4,748,545,363.5,156.567242281528,149.9312242090784
E08000035,Leeds,2016 Q1,619,477,363.5,129.56567242281528,131.2242090784044
E08000035,Leeds,2016 Q2,610,469,363.5,127.68184196755625,129.02338376891333
E08000035,Leeds,2016 Q3,646,492,363.5,135.21716378859236,135.35075653370015
E08000035,Leeds,2016 Q4,677,489,363.5,141.70591313448458,134.525447042641
E08000035,Leeds,2017 Q1,531,409,363.5,111.14599686028258,112.5171939477304
E08000035,Leeds,2017 Q2,502,396,363.5,105.07587650444793,108.94085281980743
E08000035,Leeds,2017 Q3,526,426,363.5,110.09942438513868,117.1939477303989
E08000035,Leeds,2017 Q4,652,484,363.5,136.47305075876505,133.14993122420907
E08000035,Leeds,2018 Q1,495,384,363.5,103.61067503924647,105.63961485557084
E08000035,Leeds,2018 Q2,564,430,363.5,118.05337519623234,118.29436038514443
E08000035,Leeds,2018 Q3,453,355,363.5,94.81946624803767,97.66162310866575
E08000035,Leeds,2018 Q4,482,380,363.5,100.88958660387232,104.53920220082532
E08000035,Leeds,2019 Q1,484,369,363.5,101.30821559392987,101.5130674002751
