scheme,variable,label,smd_before,smd_after
Bristol,Underground_train_tram_pct,% commuting: underground/tram,-0.3018,-0.516
Bristol,Taxi_pct,% commuting: taxi,-0.3067,-0.1287
Bristol,workAthome_pct,% working from home,0.3732,0.3824
Bristol,Other_pct,% commuting: other mode,0.4538,0.2539
Bristol,White_pct,% White,-0.4261,-0.0676
Bristol,Mixed_pct,% Mixed ethnicity,0.8728,0.2382
Bristol,Asian_pct,% Asian,0.0944,0.0861
Bristol,Black_pct,% Black,0.2688,-0.0519
Bristol,age_under15_pct,% aged under 15,-1.6472,-0.4897
Bristol,age_15to24_pct,% aged 15–24,0.9637,-0.1629
Bristol,age_25to44_pct,% aged 25–44,1.1174,0.7129
Bristol,age_45to64_pct,% aged 45–64,-1.6826,-0.2887
Bristol,age_65to84_pct,% aged 65–84,-1.0795,-0.1232
Bristol,trend_car_pkm,Trend: car/km,-0.2192,0.0341
Bristol,trend_cyc_pkm,Trend: cycling/km,-0.0829,0.0664
Bristol,trend_ped_pkm,Trend: pedestrian/km,-0.108,0.028
Bristol,trend_total_pkm,Trend: total injuries/km,-0.0231,0.1171
Bristol,log1p_mean_car_pkm,Mean: car/km (log),0.5159,0.0074
Bristol,log1p_mean_cyc_pkm,Mean: cycling/km (log),1.2336,0.285
Bristol,log1p_mean_ped_pkm,Mean: pedestrian/km (log),0.9039,0.1163
Bristol,log1p_mean_total_pkm,Mean: total injuries/km (log),1.5926,0.2678
Newcastle,log1p_road_length_km,Road length (km),0.2924,0.1594
Newcastle,log1p_road_density_m_km2,Road density (m/km²),0.8143,-0.0708
Newcastle,log_area_km2,Area (km²),-0.2883,0.1358
Newcastle,pct_A_road,% A-road,0.8508,0.4146
Newcastle,pct_B_road,% B-road,0.7013,0.4324
Newcastle,pct_minor_road,% Minor road,-1.3624,-0.7192
Newcastle,log1p_dist_citycentre,Distance to city centre (m),1.0946,2.0979
Newcastle,log1p_pop_density,Population density (persons/km²),0.365,-0.2808
Newcastle,log1p_business_retail_per_km2,Retail businesses (per km²),2.1168,0.1014
Newcastle,IMD,Index of Multiple Deprivation,0.4541,-0.1005
Newcastle,cars_one_pct,% households: 1 car,-1.3265,0.01
Newcastle,cars_twoPlus_pct,% households: 2+ cars,-2.2242,-0.8202
Newcastle,Drive_Car_pct,% commuting: drive car,-2.5973,-0.4077
Newcastle,Passenger_Car_pct,% commuting: car passenger,-1.7305,-1.0772
Newcastle,Walk_pct,% commuting: walk,2.1884,0.2728
Newcastle,Bicycle_pct,% commuting: bicycle,-0.7379,-0.7738
Newcastle,bus_Coach_pct,bus_Coach_pct,0.1322,-0.2281
Newcastle,Train_pct,% commuting: train,-0.1747,-0.6008
Newcastle,Underground_train_tram_pct,% commuting: underground/tram,2.0206,1.8197
Newcastle,Taxi_pct,% commuting: taxi,-0.2702,-0.3443
Newcastle,workAthome_pct,% working from home,-0.3252,0.1952
Newcastle,Other_pct,% commuting: other mode,-0.0517,-0.0319
Newcastle,White_pct,% White,-1.2093,-0.6473
Newcastle,Mixed_pct,% Mixed ethnicity,0.0069,-0.6256
Newcastle,Asian_pct,% Asian,1.0229,0.8167
Newcastle,Black_pct,% Black,0.1807,-0.5019
Newcastle,age_under15_pct,% aged under 15,-2.1595,-0.442
Newcastle,age_15to24_pct,% aged 15–24,2.2207,0.2831
Newcastle,age_25to44_pct,% aged 25–44,0.5372,0.0681
Newcastle,age_45to64_pct,% aged 45–64,-2.0851,-0.2094
Newcastle,age_65to84_pct,% aged 65–84,-1.5697,-0.2967
Newcastle,trend_car_pkm,Trend: car/km,0.0715,0.1471
Newcastle,trend_cyc_pkm,Trend: cycling/km,0.261,0.0403
Newcastle,trend_ped_pkm,Trend: pedestrian/km,-0.0542,0.0476
Newcastle,trend_total_pkm,Trend: total injuries/km,-0.0102,-0.0266
Newcastle,log1p_mean_car_pkm,Mean: car/km (log),0.7953,0.0402
Newcastle,log1p_mean_cyc_pkm,Mean: cycling/km (log),0.5665,-0.2729
Newcastle,log1p_mean_ped_pkm,Mean: pedestrian/km (log),1.1769,0.0148
Newcastle,log1p_mean_total_pkm,Mean: total injuries/km (log),1.4625,0.0579
Portsmouth,log1p_road_length_km,Road length (km),-0.6027,-0.4936
Portsmouth,log1p_road_density_m_km2,Road density (m/km²),0.6105,0.283
Portsmouth,log_area_km2,Area (km²),-0.9604,-0.6821
Portsmouth,pct_A_road,% A-road,0.2208,-0.0103
Portsmouth,pct_B_road,% B-road,0.0655,0.1923
Portsmouth,pct_minor_road,% Minor road,-0.2163,-0.0549
Portsmouth,log1p_dist_citycentre,Distance to city centre (m),-0.2504,0.053900000000000003
Portsmouth,log1p_pop_density,Population density (persons/km²),1.0404,0.6661
Portsmouth,log1p_business_retail_per_km2,Retail businesses (per km²),1.3088,0.7743
Portsmouth,IMD,Index of Multiple Deprivation,1.4575,0.7052
Portsmouth,cars_one_pct,% households: 1 car,-0.946,-0.3926
Portsmouth,cars_twoPlus_pct,% households: 2+ cars,-1.7102,-0.8755
Portsmouth,Drive_Car_pct,% commuting: drive car,-2.0328,-0.7563
Portsmouth,Passenger_Car_pct,% commuting: car passenger,-0.4215,-0.1846
Portsmouth,Walk_pct,% commuting: walk,1.4089,0.5643
Portsmouth,Bicycle_pct,% commuting: bicycle,0.7944,0.5672
Portsmouth,bus_Coach_pct,bus_Coach_pct,-0.5954,-0.7377
Portsmouth,Train_pct,% commuting: train,-0.1898,0.2981
Portsmouth,Underground_train_tram_pct,% commuting: underground/tram,-0.3237,-0.1544
Portsmouth,Taxi_pct,% commuting: taxi,0.4109,0.4093
Portsmouth,workAthome_pct,% working from home,-0.7637,-0.2498
Portsmouth,Other_pct,% commuting: other mode,0.1416,0.1867
Portsmouth,White_pct,% White,-0.4928,-0.5918
Portsmouth,Mixed_pct,% Mixed ethnicity,0.1268,-0.1282
Portsmouth,Asian_pct,% Asian,0.1292,0.5197
Portsmouth,Black_pct,% Black,0.6606,0.4867
Portsmouth,age_under15_pct,% aged under 15,0.1537,0.3124
Portsmouth,age_15to24_pct,% aged 15–24,0.6377,-0.2342
Portsmouth,age_25to44_pct,% aged 25–44,-0.0671,-0.0063
Portsmouth,age_45to64_pct,% aged 45–64,-0.8122,0.1175
Portsmouth,age_65to84_pct,% aged 65–84,-0.5414,0.1278
