variable,label,group,n,mean_sd,median_iqr
trend_ped_KSI_pkm,Trend: pedestrian KSI/km,Matched controls,999,-0.003 (0.088),0.000 [0.000–0.000]
trend_ped_slight_pkm,Trend: pedestrian slight/km,Matched controls,999,-0.008 (0.102),0.000 [-0.027–0.000]
trend_other_KSI_pkm,Trend: other KSI/km,Matched controls,999,0.002 (0.067),0.000 [0.000–0.000]
trend_other_slight_pkm,Trend: other slight/km,Matched controls,999,-0.007 (0.088),0.000 [0.000–0.000]
trend_total_pkm,Trend: total injuries/km,Matched controls,999,-0.020 (0.092),-0.013 [-0.046–0.016]
mean_car_KSI_pkm,Mean: car KSI/km,Matched controls,999,0.007 (0.017),0.000 [0.000–0.000]
mean_car_slight_pkm,Mean: car slight/km,Matched controls,999,0.117 (0.129),0.078 [0.016–0.165]
mean_cyc_KSI_pkm,Mean: cycling KSI/km,Matched controls,999,0.006 (0.016),0.000 [0.000–0.000]
mean_cyc_slight_pkm,Mean: cycling slight/km,Matched controls,999,0.031 (0.048),0.000 [0.000–0.049]
mean_ped_KSI_pkm,Mean: pedestrian KSI/km,Matched controls,999,0.018 (0.030),0.000 [0.000–0.028]
mean_ped_slight_pkm,Mean: pedestrian slight/km,Matched controls,999,0.047 (0.059),0.026 [0.000–0.072]
mean_other_KSI_pkm,Mean: other KSI/km,Matched controls,999,0.006 (0.015),0.000 [0.000–0.000]
mean_other_slight_pkm,Mean: other slight/km,Matched controls,999,0.020 (0.037),0.000 [0.000–0.029]
mean_total_pkm,Mean: total injuries/km,Matched controls,999,0.272 (0.231),0.198 [0.100–0.371]
