group3,quarter_year,n_roads,mean_injuries,total_injuries,pct_zero,baseline_mean,index_2019q2_2020q1
Non-CAZ roads,2020 Q3,1850405,0.004456878099659266,8247.02952,99.64823916926294,0.005501126791161936,81.01754911047767
Non-CAZ roads,2020 Q4,1850405,0.004538169616921703,8397.45175,99.6357554157063,0.005501126791161936,82.49527395392319
Non-CAZ roads,2021 Q1,1849046,0.0032826657097768295,6069.7999,99.73402500532707,0.005501126791161936,59.67260589322778
Non-CAZ roads,2021 Q2,1845284,0.005030881436136665,9283.40502,99.60537239796152,0.005501126791161936,91.45183572607773
Non-CAZ roads,2021 Q3,1845284,0.005131121193268897,9468.37584,99.5951842643192,0.005501126791161936,93.27400345530144
Non-CAZ roads,2021 Q4,1845284,0.005410947436817307,9984.73473,99.57247773242493,0.005501126791161936,98.36071121848146
Non-CAZ roads,2022 Q1,1845284,0.004963737646887962,9159.50566,99.60938262077815,0.005501126791161936,90.23128961256921
Non-CAZ roads,2022 Q2,1845284,0.004903744811096832,9048.80184,99.61214642298964,0.005501126791161936,89.14073420331171
Non-CAZ roads,2022 Q3,1835070,0.005069670851793127,9303.20089,99.6064455306882,0.005501126791161936,92.15695337068068
Non-CAZ roads,2022 Q4,1831865,0.005103223414389151,9348.41636,99.59238262644901,0.005501126791161936,92.76687500800648
Non-CAZ roads,2023 Q1,1830059,0.004627112885431559,8467.88958,99.6318697921761,0.005501126791161936,84.11209305092622
Non-CAZ roads,2023 Q2,1828401,0.004865074116673524,8895.30638,99.62076152878936,0.005501126791161936,88.43777468444667
Non-CAZ roads,2023 Q3,1826887,0.004767866167967699,8710.35272,99.62608524774657,0.005501126791161936,86.67071945383466
Non-CAZ roads,2023 Q4,1826887,0.005075208477590564,9271.83239,99.60074158938129,0.005501126791161936,92.2576168530482
Non-CAZ roads,2024 Q1,1826887,0.004483482388346956,8190.81569,99.64239714881107,0.005501126791161936,81.50116437145351
Non-CAZ roads,2024 Q2,1824674,0.004759942554121992,8685.34342,99.62459047479166,0.005501126791161936,86.52668325640623
Non-CAZ roads,2024 Q3,1824674,0.004637807213781754,8462.48624,99.63083816616009,0.005501126791161936,84.3064955571069
Non-CAZ roads,2024 Q4,1824674,0.005099007515863101,9304.02644,99.5948865386365,0.005501126791161936,92.69023800824085
Matched CAZ roads,2015 Q1,21809,0.01792524875051584,390.93175,98.5969095327617,0.013711238823421523,130.73398386071398
Matched CAZ roads,2015 Q2,21809,0.01721110046311156,375.35689,98.6840295290935,0.013711238823421523,125.52549543307187
Matched CAZ roads,2015 Q3,21809,0.01704303911229309,371.69164,98.71154110688248,0.013711238823421523,124.29977576628737
Matched CAZ roads,2015 Q4,21809,0.019050916135540375,415.48143,98.56939795497271,0.013711238823421523,138.9437991773407
Matched CAZ roads,2016 Q1,21809,0.01790701545233619,390.5341,98.63359163648036,0.013711238823421523,130.60100318395334
Matched CAZ roads,2016 Q2,21809,0.014811572745196937,323.02559,98.85368425879224,0.013711238823421523,108.02505109819708
Matched CAZ roads,2016 Q3,21809,0.017741736897611077,386.92954,98.63817689944518,0.013711238823421523,129.3955792477676
Matched CAZ roads,2016 Q4,21809,0.01890740290705672,412.35155,98.64734742537485,0.013711238823421523,137.89711601229726
Matched CAZ roads,2017 Q1,21809,0.01441355403732404,314.3452,98.87202531065157,0.013711238823421523,105.12218642638491
Matched CAZ roads,2017 Q2,21809,0.015554025402356826,339.21774,98.90412215140539,0.013711238823421523,113.43997141810014
Matched CAZ roads,2017 Q3,21809,0.0154045371177037,335.95755,98.79866110321427,0.013711238823421523,112.34971045351269
Matched CAZ roads,2017 Q4,21809,0.016919223714980055,368.99135,98.73905268467146,0.013711238823421523,123.39675453744307
Matched CAZ roads,2018 Q1,21809,0.014348699619423174,312.93079,98.92246320326471,0.013711238823421523,104.64918454277625
Matched CAZ roads,2018 Q2,21809,0.015091910679077445,329.13948,98.83992846989776,0.013711238823421523,110.06963610973985
Matched CAZ roads,2018 Q3,21809,0.015353634737952222,334.84742,98.83075794396808,0.013711238823421523,111.97846478850008
Matched CAZ roads,2018 Q4,21809,0.0185049021046357,403.57341,98.56939795497271,0.013711238823421523,134.9615621385403
Matched CAZ roads,2019 Q1,21809,0.014172514099683618,309.08836,98.85826952175707,0.013711238823421523,103.36421298033366
Matched CAZ roads,2019 Q2,21809,0.014129997707368518,308.16112,98.92246320326471,0.013711238823421523,103.05412872855567
Matched CAZ roads,2019 Q3,21809,0.012880794167545508,280.91724,98.97748635884268,0.013711238823421523,93.94332877888867
Matched CAZ roads,2019 Q4,21809,0.015364083635196478,335.0753,98.79866110321427,0.013711238823421523,112.05467159503901
Matched CAZ roads,2020 Q1,21809,0.012470079783575588,271.95997,99.01875372552615,0.013711238823421523,90.94787089751667
Matched CAZ roads,2020 Q2,21809,0.004379805584850291,95.51918,99.62400843688386,0.013711238823421523,31.943179177717422
Matched CAZ roads,2020 Q3,21809,0.009287565225365675,202.55251,99.24801687376771,0.013711238823421523,67.73687881142196
Matched CAZ roads,2020 Q4,21809,0.009470167820624513,206.53489,99.23426108487322,0.013711238823421523,69.06865194739065
Matched CAZ roads,2021 Q1,21809,0.007189552478334632,156.79695,99.4085010775368,0.013711238823421523,52.43546969697185
Matched CAZ roads,2021 Q2,21809,0.012696524370672658,276.8985,99.06460635517446,0.013711238823421523,92.59939626304568
Matched CAZ roads,2021 Q3,21809,0.015564086386354257,339.43716,98.79866110321427,0.013711238823421523,113.51334906199506
Matched CAZ roads,2021 Q4,21809,0.015687460222843782,342.12782,98.79407584024943,0.013711238823421523,114.41314986102115
Matched CAZ roads,2022 Q1,21809,0.0159368710165528,347.56722,98.79866110321427,0.013711238823421523,116.23217436289895
Matched CAZ roads,2022 Q2,21809,0.011623294052913935,253.49242,99.10587372185795,0.013711238823421523,84.77201952794402
Matched CAZ roads,2022 Q3,21809,0.01245521894630657,271.63587,99.03709477738548,0.013711238823421523,90.83948654610683
Matched CAZ roads,2022 Q4,21809,0.014568642762162411,317.72753,98.8766105736164,0.013711238823421523,106.25329300862495
Matched CAZ roads,2023 Q1,21809,0.012606372139942226,274.93237,99.00499793663167,0.013711238823421523,91.94189016974917
Matched CAZ roads,2023 Q2,21809,0.013309986244211106,290.27749,98.98665688477234,0.013711238823421523,97.07354977637033
Matched CAZ roads,2023 Q3,21809,0.011572764913567794,252.39043,99.05085056627998,0.013711238823421523,84.40349601233122
Matched CAZ roads,2023 Q4,21809,0.012749622632857994,278.05652,98.93163372919437,0.013711238823421523,92.98665712888833
Matched CAZ roads,2024 Q1,21809,0.01224017744967674,266.94603,99.03709477738548,0.013711238823421523,89.27112719215482
Matched CAZ roads,2024 Q2,21809,0.012779254436241918,278.70276,99.0829474070338,0.013711238823421523,93.20277037558715
Matched CAZ roads,2024 Q3,21809,0.012726616992984547,277.55479,98.96373056994818,0.013711238823421523,92.81887039444572
Matched CAZ roads,2024 Q4,21809,0.015349486909074235,334.75696,98.86744004768674,0.013711238823421523,111.94821348202511
Matched controls,2015 Q1,91838,0.013334188979128461,1526.89798,98.95904287835123,0.010528013841585887,126.65436405923138
Matched controls,2015 Q2,91838,0.012725936162780543,1457.24695,98.97825517422059,0.010528013841585887,120.87689429617592
Matched controls,2015 Q3,91838,0.0137146032660903,1570.45922,98.93983058248187,0.010528013841585887,130.26771689753403
Matched controls,2015 Q4,91838,0.014885700637498908,1704.56158,98.87171426076326,0.010528013841585887,141.3913475179911
Matched controls,2016 Q1,91838,0.012756513230285564,1460.74833,98.98873460833116,0.010528013841585887,121.16732958591919
Matched controls,2016 Q2,91838,0.013398746310365908,1534.29044,98.96602916775828,0.010528013841585887,127.26755978834834
Matched controls,2016 Q3,91838,0.013162878438564318,1507.28121,98.98786132215527,0.010528013841585887,125.0271764135668
Matched controls,2016 Q4,91838,0.014556695397781852,1666.88719,98.85861496812505,0.010528013841585887,138.26630185726563
