group3,quarter_year,n_roads,mean_injuries,total_injuries,pct_zero,baseline_mean,index_2019q2_2020q1
Other roads,2021 Q2,23363,0.012256102812138852,286.33933,99.10542310490948,0.012404475790878128,98.80387546204584
Other roads,2021 Q3,23363,0.013772634935581902,321.77007,98.93849248812224,0.012404475790878128,111.02956036005871
Other roads,2021 Q4,23363,0.013346632281813124,311.81737,98.95133330479818,0.012404475790878128,107.59529468893662
Other roads,2022 Q1,23363,0.012958173179814236,302.7418,98.97701493815006,0.012404475790878128,104.46369035073033
Other roads,2022 Q2,23363,0.010885734280700252,254.32341,99.12682446603604,0.012404475790878128,87.75650389599927
Other roads,2022 Q3,13177,0.012828560370342263,169.04194,98.92995370721712,0.012404475790878128,103.41880291125236
Other roads,2022 Q4,9984,0.011932781450320513,119.13689,98.96834935897436,0.012404475790878128,96.19738593948094
Other roads,2023 Q1,8195,0.0110408163514338,90.47949,99.03599755948748,0.012404475790878128,89.00671449214225
Other roads,2023 Q2,6553,0.015735722569815352,103.11619,98.931786967801,0.012404475790878128,126.85519997053741
Other roads,2023 Q3,5043,0.009389131469363474,47.34939,99.1076740035693,0.012404475790878128,75.69148126572148
Other roads,2023 Q4,5043,0.01788617886178862,90.2,98.71108467182232,0.012404475790878128,144.19133192989557
Other roads,2024 Q1,5043,0.012140969660916122,61.226910000000004,98.98869720404521,0.012404475790878128,97.87571732651708
Other roads,2024 Q2,2850,0.015499940350877192,44.17483,98.7719298245614,0.012404475790878128,124.95441655241387
Other roads,2024 Q3,2850,0.019817171929824563,56.47894,98.52631578947368,0.012404475790878128,159.75823778379657
Other roads,2024 Q4,2850,0.011330094736842105,32.29077,99.01754385964912,0.012404475790878128,91.33876294211409
Same-city candidate controls,2015 Q1,1821924,0.006342402043114856,11555.3745,99.5073340051506,0.00539321104777148,117.59973765045947
Same-city candidate controls,2015 Q2,1821924,0.006548819308599034,11931.45107,99.49575284150161,0.00539321104777148,121.42709140420273
