scheme,balance_group,n_variables,mean_abs_smd_before,mean_abs_smd_after,max_abs_smd_after,n_imbalanced_0_10,n_imbalanced_0_05,worst_variable,all_balanced_0_10,all_balanced_0_05
Birmingham,Recovery response change,1,0.2171,0.047,0.047,0,0,Recovery - COVID injuries/km,TRUE,TRUE
Birmingham,Overall pre-treatment injury level,1,1.2772,0.1251,0.1251,1,1,Level: mean total injuries/km (log),FALSE,FALSE
Birmingham,Zero-quarter share,1,0.6106,0.0585,0.0585,0,1,Zero-injury quarter share (log),TRUE,FALSE
Bradford,Road/network covariates,9,0.5091,0.2892,0.7736,8,9,Retail density (log),FALSE,FALSE
Bradford,Socio-demographic covariates,13,0.7803,0.4299,1.1344,11,11,% Ethnic minority,FALSE,FALSE
Bradford,Overall pre-treatment trend,1,0.0487,0.0181,0.0181,0,0,Trend: total injuries/km,TRUE,TRUE
Bradford,Within-pre-period trend shape,2,0.0801,0.0266,0.0297,0,0,Recent - mid injuries/km,TRUE,TRUE
Bradford,Pre-COVID injury level,1,0.3507,0.0171,0.0171,0,0,Level: pre-COVID injuries/km (log),TRUE,TRUE
Bradford,Lockdown injury level,1,0.092,0.001,0.001,0,0,Level: lockdown injuries/km (log),TRUE,TRUE
Bradford,Recovery injury level,1,0.4503,0.0765,0.0765,0,1,Level: recovery injuries/km (log),TRUE,FALSE
Bradford,COVID response change,1,0.1862,0.003,0.003,0,0,COVID - pre-COVID injuries/km,TRUE,TRUE
Bradford,Recovery response change,1,0.3056,0.0769,0.0769,0,1,Recovery - COVID injuries/km,TRUE,FALSE
