control_OA,matched_schemes,matched_to,n_pair_rows,n_treated_matched,max_distance_km,mean_distance_km,LAD24CD,LAD24NM,area_km2,map_geom_area_km2,n_roads,road_length_km,road_density_m_km2,pop_density,mean_total_pkm,trend_total_pkm,extreme_area_control,extreme_distance_control
E00057643,Sheffield,E00172416,1,1,48.101264360934785,48.101264360934785,E08000035,Leeds,0.029715314238201593,0.029715314238201593,14,0.5703650737228639,19194.314054724367,13292.80911632405,0.3351537616990959,-0.6866430410215578,FALSE,FALSE
E00083257,Sheffield,"E00172412, E00185261",2,2,213.89207483393218,213.4546607772637,E06000039,Slough,0.029709705713921286,0.029709705713921286,10,0.34732477320758404,11690.616411755153,11275.776449142904,0.26397195671730456,-0.32965943958413674,FALSE,FALSE
E00085060,Bath,E00072572,1,1,165.15955265234436,165.15955265234436,E06000043,Brighton and Hove,0.029632265895938734,0.029632265895938734,17,0.530286063122762,17895.562390841013,6681.905484222082,0.18857746215527044,0.030258747516493857,FALSE,FALSE
E00077490,Birmingham,E00186158,1,1,193.43093642030416,193.43093642030416,E06000058,"Bournemouth, Christchurch and Poole",0.029585511703392606,0.029585511703392606,2,0.1373294948462145,4641.781971628592,9261.289875496055,0.670089117440139,0.14601058334576722,FALSE,FALSE
E00187781,Portsmouth,E00086042,1,1,176.45662120543534,176.45662120543534,E07000008,Cambridge,0.02954952499629751,0.02954952499629751,22,0.5723357824739793,19368.696537277392,21049.407734233806,0.5210996920563138,-0.013815649994030128,FALSE,FALSE
E00044853,Bradford,E00176174,1,1,127.31704873755581,127.31704873755581,E08000024,Sunderland,0.029457690158258484,0.029457690158258484,43,1.0495821744171552,35630.158670906654,7298.603483332674,0.23819002084217733,-0.10654694477603473,FALSE,FALSE
E00168094,Portsmouth,E00174464,1,1,203.4044262847691,203.4044262847691,E06000016,Leicester,0.029367686765510357,0.029367686765510357,21,0.6418210628840434,21854.66863661196,7252.869512696821,0.993024437584012,-0.013034148839429988,FALSE,FALSE
E00085266,Newcastle,E00175558,1,1,470.9272633152491,470.9272633152491,E06000043,Brighton and Hove,0.02936605655105645,0.02936605655105645,27,0.8679817440129163,29557.313645563027,17230.77796027048,2.6954754706974398,-0.028227964174929947,FALSE,FALSE
E00185079,Sheffield,E00172417,1,1,109.26240213415959,109.26240213415959,E08000026,Coventry,0.029068851452440692,0.029068851452440692,24,0.5153570804522751,17728.84220401506,5882.585360476718,0.09702010876831307,-0.04573985412397102,FALSE,FALSE
E00068090,Birmingham,E00045212,1,1,54.898325727971496,54.898325727971496,E06000015,Derby,0.029020051566180163,0.029020051566180163,11,0.45474540183945567,15670.041136984535,14300.457015163925,0.20140280611860717,0.14561894188358968,FALSE,FALSE
